name,region,gl_type,region_type,area,volume,lat,lon
IC_1462, CW, LT, ice_cap, 0.27,      0, 70.05245, -51.71211 
IC_1465, CW, LT, ice_cap, 0.01,      0, 69.95150, -53.69164 
IC_1469, CE, LT, ice_cap, 0.01,      0, 68.98937, -25.65548 
IC_1471, CE, LT, ice_cap, 0.02,      0, 68.98898, -25.65983 
IC_1472, CE, LT, ice_cap, 0.02,      0, 68.98872, -25.66536 
IC_1464, CE, LT, ice_cap, 12.83,      0, 69.03144, -25.87429 
IC_1467, CE, LT, ice_cap, 0.75,      0, 68.98420, -25.63905 
IC_1463, CW, LT, ice_cap, 10.28,      0, 69.96792, -52.99035 
IC_1466, CE, LT, ice_cap, 12.10,      0, 69.00448, -25.79934 
IC_1473, CW, LT, ice_cap, 0.01,      0, 69.91108, -53.51021 
IC_1474, CW, LT, ice_cap, 0.01,      0, 69.88531, -53.86245 
IC_1475, CW, LT, ice_cap, 0.01,      0, 69.89487, -53.36623 
IC_1477, CW, LT, ice_cap, 0.01,      0, 69.89453, -53.15552 
IC_1476, CW, LT, ice_cap, 7.30,      0, 69.82613, -54.26791 
IC_1478, CW, LT, ice_cap, 0.11,      0, 69.83114, -54.18474 
IC_1479, CW, LT, ice_cap, 0.03,      0, 69.88108, -53.06053 
IC_1481, CW, LT, ice_cap, 0.01,      0, 69.84105, -53.33803 
IC_1482, CW, LT, ice_cap, 0.01,      0, 69.79364, -54.09657 
IC_1483, CW, LT, ice_cap, 0.01,      0, 69.77631, -53.99941 
IC_1484, CW, LT, ice_cap, 0.01,      0, 69.80669, -53.22912 
IC_1485, CW, LT, ice_cap, 0.02,      0, 69.80523, -53.23113 
IC_1486, CW, LT, ice_cap, 0.02,      0, 69.80333, -53.23295 
IC_1487, CW, LT, ice_cap, 0.01,      0, 69.74212, -54.28746 
IC_1488, CW, LT, ice_cap, 0.02,      0, 69.77990, -53.49798 
IC_1490, CW, LT, ice_cap, 0.02,      0, 69.77839, -53.43057 
IC_1491, CW, LT, ice_cap, 0.01,      0, 69.73426, -54.15288 
IC_1492, CW, LT, ice_cap, 0.02,      0, 69.78243, -53.23467 
IC_1493, CW, LT, ice_cap, 0.06,      0, 69.77557, -53.23311 
IC_1489, CW, LT, ice_cap, 15.11,      0, 69.76171, -53.46373 
IC_1494, CW, LT, ice_cap, 0.01,      0, 69.79970, -52.70008 
IC_1495, CW, LT, ice_cap, 0.01,      0, 69.71588, -54.09206 
IC_1496, CW, LT, ice_cap, 0.04,      0, 69.71317, -54.06729 
IC_1498, CW, LT, ice_cap, 0.01,      0, 69.72925, -53.72957 
IC_1497, CW, LT, ice_cap, 7.28,      0, 69.70336, -53.77960 
IC_1499, CW, LT, ice_cap, 0.09,      0, 69.74094, -53.46812 
IC_1500, CW, LT, ice_cap, 0.01,      0, 69.76858, -52.66964 
IC_1501, CW, LT, ice_cap, 0.01,      0, 69.76527, -52.66313 
IC_1502, CW, LT, ice_cap, 12.41,      0, 69.69174, -53.41793 
IC_1503, CW, LT, ice_cap, 0.17,      0, 69.68850, -53.73902 
IC_1505, CW, LT, ice_cap, 0.01,      0, 69.70147, -53.41208 
IC_1506, CW, LT, ice_cap, 0.03,      0, 69.70051, -53.40733 
IC_1507, CW, LT, ice_cap, 0.01,      0, 69.69920, -53.40330 
IC_1508, CW, LT, ice_cap, 0.01,      0, 69.71247, -53.12207 
IC_1509, CW, LT, ice_cap, 0.01,      0, 69.63413, -54.39829 
IC_1510, CW, LT, ice_cap, 0.01,      0, 69.72173, -52.72441 
IC_1504, CW, LT, ice_cap, 8.85,      0, 69.62573, -54.42486 
IC_1511, CW, LT, ice_cap, 0.01,      0, 69.71705, -52.72779 
IC_1512, CW, LT, ice_cap, 0.02,      0, 69.71634, -52.72360 
IC_1513, CW, LT, ice_cap, 0.01,      0, 69.67158, -53.41239 
IC_1514, CW, LT, ice_cap, 0.01,      0, 69.70799, -52.57324 
IC_1515, CW, LT, ice_cap, 0.03,      0, 69.68715, -52.63288 
IC_1516, CW, LT, ice_cap, 0.02,      0, 69.68482, -52.63458 
IC_1517, CW, LT, ice_cap, 0.01,      0, 69.68509, -52.61908 
IC_1519, CW, LT, ice_cap, 0.01,      0, 69.68908, -52.49320 
IC_1518, CW, LT, ice_cap, 0.04,      0, 69.68242, -52.63756 
IC_1520, CW, LT, ice_cap, 0.01,      0, 69.68047, -52.64070 
IC_1521, CW, LT, ice_cap, 6.20,      0, 69.60151, -53.63274 
IC_1522, CW, LT, ice_cap, 0.01,      0, 69.65276, -52.43795 
IC_1524, CW, LT, ice_cap, 0.02,      0, 69.61577, -52.62358 
IC_1523, CE, LT, ice_cap, 9.29,      0, 68.75126, -26.85625 
IC_1525, CW, LT, ice_cap, 0.01,      0, 69.59829, -52.60134 
IC_1526, CW, LT, ice_cap, 7.39,      0, 69.55252, -53.12792 
IC_1527, CW, LT, ice_cap, 0.08,      0, 69.57546, -52.74328 
IC_1529, CW, LT, ice_cap, 0.01,      0, 69.54634, -53.09825 
IC_1528, CW, LT, ice_cap, 8.09,      0, 69.51430, -53.43298 
IC_1530, CW, LT, ice_cap, 0.38,      0, 69.52243, -53.49093 
