id,sector_id,name,region,sector_type,gl_type,area,volume,lat,lon
106,051,NEWMAN_BUGT,NO,LT, ice_sheet, 3184.6, 1429.96, 81.10987, -57.53923 
107,345,IC_684,NW,LT, ice_cap, 3145.3, 2929.83, 76.97453, -68.77760 
108,001,GEIKIE_UNNAMED_VESTFORD_S,CE,TW, ice_sheet, 3101.9, 2844.09, 69.87073, -28.53203 
109,093,MIDGARDGLETSCHER,SE,TW, ice_sheet, 3051.1, 2743.74, 66.69411, -36.58929 
110,242,UNNAMED_UUNARTIT_ISLANDS,CE,TW, ice_sheet, 3049.8, 1806.50, 67.36578, -35.01729 
111,022,INNGIA_ISBRAE,NW,TW, ice_sheet, 2934.9, 2350.58, 72.35916, -51.46870 
112,192,RIMFAXE,SE,TW, ice_sheet, 2908.2, 2481.57, 63.40012, -43.19174 
113,143,HISINGER_GLETSCHER,NE,TW, ice_sheet, 2871.2, 3853.18, 72.82072, -30.62625 
114,099,FREDERIKSBORG_GLETSCHER,CE,TW, ice_sheet, 2820.5, 2288.21, 68.77571, -31.67768 
115,130,SIORALIK-ARSUK-QIPISAQQU,SW,LT, ice_sheet, 2772.1, 2192.60, 61.34611, -47.41889 
116,223,PETERMANN_GLETSCHER_N,NO,TW, ice_sheet, 2603.3, 1013.02, 80.89174, -58.92232 
117,388,IC_981,CE,LT, ice_cap, 2533.0, 1720.27, 71.85854, -25.60403 
118,030,CORNELL_GLETSCHER,NW,TW, ice_sheet, 2527.9, 4830.07, 74.34977, -49.58160 
119,007,LILLE_GLETSCHER,CW,TW, ice_sheet, 2517.0, 5239.13, 71.45167, -45.70209 
120,006,CW_NONAME2,CW,TW, ice_sheet, 2515.2, 5768.57, 71.61855, -45.00784 
121,106,PUISORTOQ_N,SE,TW, ice_sheet, 2497.1, 2611.82, 62.13674, -43.78465 
122,077,DOCKER_SMITH_GLETSCHER,NW,TW, ice_sheet, 2494.1, 3149.92, 76.90655, -60.50383 
123,151,BORGGRAVEN,CE,TW, ice_sheet, 2475.9, 1607.47, 69.03394, -28.22435 
124,000,UMIAMMAKKU_ISBRAE,NW,TW, ice_sheet, 2467.5, 1374.34, 72.08093, -51.41143 
